week,kickoff,home,away,neutral,pred,spread_open,mkt_margin,edge,side_play,proj_total,total_open,tot_edge,tot_side,tot_play,tot_status,posted,posted_basis
1,2026-08-30,Bethel University Tennessee,Lane College,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-08-30,Sul Ross State,Wayland Baptist,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-08-31,Tuskegee,West Alabama,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Montclair State,Merchant Marine,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Glenville State,Millersville,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Clarion,West Virginia Wesleyan,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,California (PA),Charleston (WV),FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Fairmont State,Bloomsburg,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Assumption,Kutztown,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Carson Newman,Thomas,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Morehead State,Kentucky Christian,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Wayne State (MI),Northwood,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Olivet,Millikin,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Arkansas Monticello,Southeastern Oklahoma State,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Buffalo,UAlbany,FALSE,NA,-24.5,24.5,NA,NA,NA,48.5,NA,NA,NA,NA,NA,NA
1,2026-09-03,UCF,Bethune-Cookman,FALSE,NA,-41.5,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Ohio Wesleyan,Bluffton,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Delaware,Merrimack,FALSE,NA,-28.5,28.5,NA,NA,NA,55.5,NA,NA,NA,NA,NA,NA
1,2026-09-03,Stony Brook,Lindenwood,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Juniata,Gettysburg,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Samford,Southern Illinois,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Northern State,Winona State,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Marietta,Westminster (PA),FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Minot State,Wayne State (NE),FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Kennesaw State,West Georgia,FALSE,NA,-22.5,22.5,NA,NA,NA,51.5,NA,NA,NA,NA,NA,NA
1,2026-09-03,Wooster,Wilmington (OH),FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Brockport,Buffalo State,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Wisconsin River Falls,Southern Virginia,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,King's,Wilkes,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Trine,Chicago,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Minnesota Duluth,Augustana (SD),FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Grand Valley State,West Texas,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Ashland,IU Pennsylvania,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Edinboro,Ohio Dominican,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Valdosta State,Warner,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Southern Nazarene,Henderson State,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Minnesota St Moorhead,Concordia St. Paul,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-03,Harding,Northwestern (OK),FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Western Colorado,Angelo State,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Central Missouri,Missouri Western,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Millsaps,Belhaven,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Minnesota,Eastern Illinois,FALSE,NA,-43.5,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
